StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/04/30 02:16:09.875043,0.000034,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:10.875210,0.000026,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:11.875362,0.000029,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:12.875510,0.000030,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:13.875842,0.000029,icmp,47.246.50.132,0x0008,  <->,159.65.26.180,0x0400,ECO,0,0,2,196,98,1
2021/04/30 02:16:17.026211,0.048594,tcp,45.146.164.243,49378,   ->,159.65.26.180,7006,SR_RA,0,0,3,166,112,2
2021/04/30 02:16:47.197375,0.637655,tcp,14.142.199.174,57361,   ->,159.65.26.180,445,S_RA,32,32,4,240,132,2
2021/04/30 02:16:47.787700,0.058430,tcp,138.68.180.131,40924,   ->,159.65.26.180,9201,SR_RA,0,0,5,278,224,4
2021/04/30 02:17:24.037194,0.000039,udp,87.206.56.91,53451,   ->,159.65.26.180,53161,INT,0,,1,161,161,1
2021/04/30 02:17:26.627997,0.577162,tcp,31.28.210.108,5370,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:17:34.056768,0.054019,tcp,45.143.200.34,55710,   ->,159.65.26.180,8100,SR_RA,0,0,3,166,112,2
2021/04/30 02:17:58.713302,0.009240,tcp,45.144.214.16,56031,   ->,159.65.26.180,5084,SR_RA,0,0,3,166,112,2
2021/04/30 02:18:01.891540,0.014215,tcp,92.63.197.86,57714,   ->,159.65.26.180,6394,SR_RA,0,0,3,166,112,2
2021/04/30 02:18:22.966021,0.614250,tcp,195.46.175.182,58746,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:18:31.930235,0.000030,udp,45.35.77.22,5560,   ->,159.65.26.180,5060,INT,0,,1,452,452,1
2021/04/30 02:18:57.848905,0.265932,tcp,202.111.177.157,42478,   ->,159.65.26.180,1022,SR_RA,0,0,3,166,112,2
2021/04/30 02:19:02.861017,0.063841,tcp,45.143.200.34,55710,   ->,159.65.26.180,8912,SR_RA,0,0,3,166,112,2
2021/04/30 02:19:04.326251,0.055553,tcp,45.143.200.34,55710,   ->,159.65.26.180,8498,SR_RA,0,0,3,166,112,2
2021/04/30 02:19:05.840600,0.000025,tcp,74.120.14.25,4627,   ->,159.65.26.180,1911,S_RA,32,32,2,112,58,1
2021/04/30 02:19:20.324657,0.839386,tcp,114.39.220.225,13685,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:19:23.429172,0.050326,tcp,45.143.200.34,55710,   ->,159.65.26.180,8430,SR_RA,0,0,3,166,112,2
2021/04/30 02:19:26.820880,0.063515,tcp,45.143.200.34,55710,   ->,159.65.26.180,10774,SR_RA,0,0,3,166,112,2
2021/04/30 02:19:42.723744,0.000030,tcp,62.234.89.176,40295,   ->,159.65.26.180,32082,S_RA,96,96,2,110,56,1
2021/04/30 02:19:43.904219,0.000033,tcp,162.142.125.170,58496,   ->,159.65.26.180,65270,S_RA,0,0,2,112,58,1
2021/04/30 02:19:55.588085,0.011705,tcp,92.63.197.53,56750,   ->,159.65.26.180,5387,SR_RA,0,0,3,166,112,2
2021/04/30 02:20:15.293287,0.045939,tcp,5.188.206.62,55073,   ->,159.65.26.180,8299,SR_RA,0,0,3,166,112,2
2021/04/30 02:20:17.431732,0.067291,tcp,45.143.200.34,55710,   ->,159.65.26.180,9502,SR_RA,0,0,3,166,112,2
2021/04/30 02:20:19.748863,0.066307,tcp,5.188.206.62,55073,   ->,159.65.26.180,8293,SR_RA,0,0,3,166,112,2
2021/04/30 02:20:22.817123,0.000033,icmp,52.81.51.93,0x0008,  <->,159.65.26.180,0x1900,ECO,0,0,2,196,98,1
2021/04/30 02:20:24.748075,0.000031,icmp,52.81.51.93,0x0008,  <->,159.65.26.180,0x1b00,ECO,0,0,2,196,98,1
2021/04/30 02:20:24.875332,599.820679,icmp,54.223.109.215,0x0008,  <->,159.65.26.180,0x1300,ECO,0,0,4,392,196,2
2021/04/30 02:20:25.061286,0.044944,tcp,5.188.206.62,55073,   ->,159.65.26.180,8296,SR_RA,0,0,3,166,112,2
2021/04/30 02:20:30.380096,0.573915,tcp,188.170.53.175,51220,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/04/30 02:20:35.930439,1.411366,tcp,14.247.133.222,51046,   ->,159.65.26.180,445,S_RA,0,0,6,356,194,3
2021/04/30 02:20:40.959063,0.054731,tcp,45.143.200.34,55710,   ->,159.65.26.180,11182,SR_RA,0,0,3,166,112,2
